step,time,raw_score,std_score,human_normalized_score
1000000,8714.181457519531,150.0,0.0,-0.1045812611446758
2000000,18652.18039035797,435.0,43.58898943540674,2.039710783908029
3000000,28540.921471834183,325.0,0.0,1.212089292835055
4000000,38333.9621014595,600.0,97.46794344808964,3.281143020517489
5000000,48258.9367043972,2825.0,1470.7141122597552,20.021668635402637
6000000,58030.529663324356,1650.0,1528.7249589118378,11.181166344395873
7000000,67988.15457296371,4145.0,33.166247903554,29.953126528278318
8000000,78392.09856367111,3970.0,1616.9724796668618,28.636455974298592
9000000,88461.56587004662,3860.0,1659.4125466561954,27.808834483225613
10000000,98166.29755449295,3995.0,1522.6949793047852,28.824551767724266
