step,time,raw_score,std_score,human_normalized_score
1000000,6491.140396118164,460.0,220.0,2.2278065773337046
2000000,13636.366392374039,645.0,173.49351572897473,3.619715448683706
3000000,20920.101317882538,375.0,70.71067811865476,1.5882808796864065
4000000,28301.76156258583,420.0,10.0,1.926853307852623
5000000,35717.23132109642,1400.0,1341.8271125595875,9.300208410139115
6000000,43789.862140893936,2865.0,1724.4999275152202,20.322621904883718
7000000,51582.781725883484,4135.0,407.9215610874228,29.87788821090805
8000000,58833.922149419785,3555.0,1378.259772321604,25.514065803432374
9000000,66115.77480101585,3440.0,1488.589936819405,24.648825153674263
10000000,73387.272503376,3725.0,1476.3976429133177,26.793117198726968
