step,time,raw_score,std_score,human_normalized_score
1000000,4969.8959012031555,0.0,0.0,0.0
2000000,10294.390157699585,0.0,0.0,0.0
3000000,15591.233809232712,0.0,0.0,0.0
4000000,20940.56829404831,0.0,0.0,0.0
5000000,26308.242671251297,0.0,0.0,0.0
6000000,31622.514210939407,0.0,0.0,0.0
7000000,36951.63505125046,0.0,0.0,0.0
8000000,42353.214856386185,0.0,0.0,0.0
9000000,47768.87389755249,0.0,0.0,0.0
10000000,53220.28258442879,0.0,0.0,0.0
