step,time,raw_score,std_score,human_normalized_score
1000000,9575.886955976486,0.0,0.0,-5.902777777777778
2000000,19255.67317891121,11.6,4.409081537009721,34.375
3000000,29228.185744285583,20.6,16.218507946170636,65.62500000000001
4000000,39511.35769248009,20.6,19.283153269110322,65.62500000000001
5000000,49857.888999700546,23.4,15.653753543479596,75.34722222222221
6000000,59880.16008782387,35.8,12.480384609458156,118.40277777777774
7000000,70013.75262236595,23.8,13.075167302944921,76.73611111111111
8000000,80199.50441479683,33.8,16.21604144049959,111.4583333333333
9000000,90487.98044633865,12.2,5.491812087098392,36.45833333333333
10000000,100452.32894682884,12.2,4.166533331199932,36.45833333333333
