step,time,raw_score,std_score,human_normalized_score
1000000,6370.966833591461,0.8,0.7483314773547883,-3.1249999999999996
2000000,12842.265133142471,10.2,5.912698199637793,29.51388888888889
3000000,19590.36550951004,20.8,8.657944328765344,66.31944444444446
4000000,26509.596695423126,26.0,7.720103626247513,84.375
5000000,33325.78646683693,34.0,12.083045973594572,112.15277777777777
6000000,40141.32926464081,43.2,13.6,144.0972222222222
7000000,47019.905555963516,24.6,18.271288952889996,79.5138888888889
8000000,54419.54351568222,31.6,15.447977213862014,103.81944444444444
9000000,61301.48806786537,38.6,24.499795917517353,128.125
10000000,68204.81110239029,35.6,20.175232340669588,117.70833333333333
