step,time,raw_score,std_score,human_normalized_score
1000000,6295.269932746887,-21.0,0.0,-0.849858356940512
2000000,13572.168785095215,-21.0,0.0,-0.849858356940512
3000000,20326.18830060959,-20.6,0.4898979485566356,0.283286118980164
4000000,26578.25642633438,-20.4,0.4898979485566356,0.849858356940512
5000000,32802.90847992897,-20.2,0.39999999999999997,1.41643059490085
6000000,39079.79455113411,-20.2,0.4,1.41643059490085
7000000,45393.26856279373,-18.6,1.019803902718557,5.949008498583564
8000000,52467.815531253815,-5.0,7.874007874011811,44.47592067988669
9000000,59462.25615334511,-7.8,5.035871324805669,36.54390934844193
10000000,66367.6844818592,5.8,3.6,75.07082152974505
