step,time,raw_score,std_score,human_normalized_score
1000000,9982.904485940933,52.8,105.59999999999998,-1.8783282817915061
2000000,20322.34996032715,52.8,105.59999999999998,-1.8783282817915061
3000000,30540.992458581924,52.8,105.59999999999998,-1.8783282817915061
4000000,40548.267434835434,132.0,264.0,-1.4001424897057226
5000000,51092.20091342926,132.0,264.0,-1.4001424897057226
6000000,61694.35253381729,132.0,264.0,-1.4001424897057226
7000000,72264.95800304413,132.0,264.0,-1.4001424897057226
8000000,82641.97304368019,785.6,273.730962808375,2.5460978348809977
9000000,93644.98335385323,3762.4,1120.315241349505,20.519121393984037
10000000,104297.50753045082,4425.6,1226.8981375811115,24.523323632762974
11000000,114647.85864400864,4099.6,1294.5729179926482,22.555033629985637
12000000,124798.33758378029,5135.2,1088.3944873068772,28.807675123470954
13000000,135245.37787508965,5800.0,1948.2648690565663,32.82153768128193
14000000,145723.3499338627,5724.0,1185.1872425908068,32.362672527260216
15000000,156157.03051114082,4390.0,911.5911364202703,24.30838153430017
16000000,166875.8009648323,5674.4,715.1742724679069,32.063202637267096
17000000,177320.628885746,4326.0,1545.9386792496007,23.921968773018733
18000000,187904.12900400162,4570.8,1721.7157024317341,25.399997584920246
19000000,198499.42618489265,4912.8,1863.723412955903,27.464890778017946
20000000,209417.7967607975,4642.4,1762.8501467793567,25.832296861603854
21000000,219441.55364894867,4802.8,755.6513481758634,26.80074384456547
22000000,228960.7654595375,5782.8,132.23978221397675,32.717689251687545
23000000,237923.89593791962,5333.2,417.13805868081613,30.003139603685412
24000000,247262.64518547058,6267.2,795.7975621978243,35.642350838636446
25000000,257494.73402285576,6822.8,1562.1152838379119,38.99689662251096
26000000,266858.1413552761,6684.4,1511.31063650065,38.161279026239846
27000000,276785.52225899696,7141.6,1500.7536240169472,40.92171518964415
28000000,286269.2637295723,6334.4,782.7596310490213,36.04808423798197
29000000,295654.10712099075,5528.4,1180.288371543158,31.18169852559381
30000000,305023.37919163704,8466.0,2512.9033407594493,48.91804426841197
