step,time,raw_score,std_score,human_normalized_score
1000000,6566.000154256821,0.0,0.0,-1.2331560216987307
2000000,13678.532729625702,125.0,0.0,-0.29267705457035165
3000000,20940.518438577652,405.0,43.01162633521314,1.8139958317972178
4000000,28125.3348133564,675.0,77.45966692414834,3.8454304007945166
5000000,35355.67805147171,700.0,65.19202405202648,4.033526194220192
6000000,42520.51379394531,1060.0,275.4995462791182,6.742105619549925
7000000,49772.445081949234,815.0,218.8606862823929,4.898766843978302
8000000,57455.952330350876,790.0,274.5906043549196,4.710671050552626
9000000,64971.49400424957,1830.0,1608.6018774078314,12.53545605706074
10000000,72202.9484591484,820.0,10.0,4.936386002663436
