step,time,raw_score,std_score,human_normalized_score
1000000,9063.75969338417,0.0,0.0,0.0
2000000,19072.759798288345,44.4,22.799999999999997,5.15979081929111
3000000,28977.569710969925,24.0,12.89961239727768,2.789076118535735
4000000,38812.38716030121,16.4,15.755633912984903,1.9058686809994188
5000000,49045.83106255531,19.8,11.72006825918689,2.3009877977919815
6000000,59548.3020029068,21.8,12.073110618229256,2.5334108076699597
7000000,69957.07419610023,29.0,6.782329983125268,3.37013364323068
8000000,79822.62310218811,3.2,0.9797958971132712,0.37187681580476467
9000000,89654.0544526577,7.8,5.912698199637792,0.9064497385241139
10000000,100193.4554362297,6.0,3.0983866769659336,0.6972690296339338
