step,time,raw_score,std_score,human_normalized_score
1000000,4784.149267435074,125.0,0.0,-0.29267705457035165
2000000,9564.688612699509,150.0,0.0,-0.1045812611446758
3000000,14411.333022594452,155.0,10.0,-0.06696210245954064
4000000,19229.46978712082,210.0,53.85164807134504,0.3468486430769462
5000000,24064.181772470474,170.0,40.0,0.04589537359586486
6000000,28896.31520652771,420.0,182.61982367749675,1.926853307852623
7000000,33726.93117213249,565.0,33.91164991562634,3.017808909721543
8000000,38589.04661774635,465.0,64.42049363362563,2.2654257360188397
9000000,44198.137090206146,685.0,110.22703842524301,3.920668718164787
10000000,49769.85636162758,590.0,136.56500283747664,3.2059047031472185
