step,time,raw_score,std_score,human_normalized_score
1000000,8937.341168642044,-21.0,0.0,-0.849858356940512
2000000,18619.620956897736,-21.0,0.0,-0.849858356940512
3000000,28215.889647483826,-21.0,0.0,-0.849858356940512
4000000,37853.68145751953,-21.0,0.0,-0.849858356940512
5000000,47729.482929468155,-21.0,0.0,-0.849858356940512
6000000,57430.9423725605,-21.0,0.0,-0.849858356940512
7000000,67170.36671972275,-20.6,0.4898979485566356,0.283286118980164
8000000,76904.84084916115,-21.0,0.0,-0.849858356940512
9000000,86450.33587622643,-21.0,0.0,-0.849858356940512
10000000,96056.76170277596,-20.8,0.39999999999999997,-0.28328611898017403
