step,time,raw_score,std_score,human_normalized_score
1000000,5663.046594381332,660.0,0.0,1.7877627908661688
2000000,12291.119144439697,692.8,161.6,1.985799331022907
3000000,19470.070721149445,746.4,130.22073567600515,2.3094200185961142
4000000,26598.278351783752,804.0,113.58873183551263,2.6571915037494116
5000000,33038.87780547142,767.2,170.95309298167143,2.4350041660125834
6000000,39535.45606660843,740.0,158.95659784985335,2.2707787424679706
7000000,45925.52981686592,670.4,46.067776156441504,1.8505548645744028
8000000,52282.223808288574,765.6,111.12803426678616,2.4253438469805473
9000000,58686.78451323509,737.6,102.43749313605835,2.2562882639199167
10000000,65111.152192115784,607.2,85.3191654905274,1.4689722628089799
11000000,71842.52129077911,616.8,49.664474224540015,1.5269341770011955
12000000,78639.68961691856,775.2,123.68734777656121,2.483305761172763
13000000,85424.63861060143,737.6,115.14443104206126,2.2562882639199167
14000000,92196.67711234093,709.6,111.58781295464124,2.087232680859286
15000000,98877.85173344612,660.0,0.0,1.7877627908661688
16000000,105408.29743003845,680.0,47.86648096528509,1.9085167787666188
17000000,111637.99329352379,670.4,34.650252524332345,1.8505548645744028
18000000,117721.4882953167,708.0,60.71573107523288,2.0775723618272495
19000000,123771.24833488464,718.4,69.35589376541837,2.140364435535484
20000000,129782.57801771164,738.4,85.92461812542433,2.261118423435934
21000000,135805.01863121986,689.6,47.70576485080184,1.9664786929588354
22000000,141833.87895846367,679.2,38.400000000000006,1.9036866192506015
23000000,147856.42781615257,756.8,120.48966760681182,2.3722120923043484
24000000,154004.000238657,690.4,70.1358681417718,1.9713088524748532
25000000,160172.05381560326,699.2,54.751803623259754,2.024440607151052
26000000,166301.10135364532,625.6,76.54959176899638,1.5800659316773942
27000000,172702.28570079803,765.6,115.2,2.4253438469805473
28000000,179185.32423758507,804.0,199.06983699194612,2.6571915037494116
29000000,185690.47706341743,663.2,83.19230733667628,1.8070834289302409
30000000,192194.42704319954,719.2,125.30666382918348,2.145194595051502
