step,time,raw_score,std_score,human_normalized_score
1000000,6815.7171857357025,1.6,1.019803902718557,-0.34722222222222177
2000000,13870.690728664398,17.6,3.1999999999999997,55.208333333333336
3000000,20947.5253200531,29.6,6.086049621881176,96.875
4000000,28256.85158586502,38.4,14.568459081179451,127.43055555555554
5000000,35309.34008216858,43.0,7.4565407529228995,143.40277777777777
6000000,42318.65917348862,38.8,12.82809416865966,128.81944444444443
7000000,49215.22021198273,52.0,18.718974330876144,174.65277777777777
8000000,56279.04535102844,46.8,23.025203582161872,156.5972222222222
9000000,63265.52803039551,49.6,17.48828179095934,166.31944444444443
10000000,70613.42135572433,0.0,0.0,-5.902777777777778
