step,time,raw_score,std_score,human_normalized_score
1000000,7544.303509235382,0.0,0.0,-5.902777777777778
2000000,15801.917330265045,1.4,1.019803902718557,-1.0416666666666667
3000000,23936.191331624985,0.0,0.0,-5.902777777777778
4000000,31305.40500831604,18.2,6.11228271597445,57.291666666666664
5000000,38628.30506157875,33.2,11.617228585166083,109.375
6000000,45909.6791768074,36.2,20.163333057805698,119.79166666666667
7000000,53298.25936603546,49.0,10.583005244258363,164.2361111111111
8000000,60736.67943072319,60.4,13.54400236266961,203.81944444444443
9000000,68679.97400283813,74.2,23.919866220361683,251.73611111111111
10000000,76342.02209448814,58.2,16.581917862539303,196.18055555555557
