step,time,raw_score,std_score,human_normalized_score
1000000,5401.712368965149,80.0,0.0,0.027628059628974203
2000000,11348.054270029068,84.0,40.792156108742276,0.03715497674241359
3000000,17619.16539168358,164.0,38.781438859330635,0.2276933190112013
4000000,23818.013971567154,176.0,32.0,0.25627407035151945
5000000,29935.644852399826,40.0,25.298221281347036,-0.06764111150541964
6000000,35853.292427778244,164.0,52.76362383309168,0.2276933190112013
7000000,41813.19971060753,200.0,61.96773353931867,0.31343557303215575
8000000,47798.01911067963,232.0,73.32121111929344,0.38965090993967083
9000000,53821.7938015461,100.0,21.908902300206645,0.07526264519617112
10000000,59834.250584602356,148.0,51.536394906900505,0.18958565055744372
