step,time,raw_score,std_score,human_normalized_score
1000000,6069.737335920334,100.0,0.0,0.07526264519617112
2000000,12432.662512540817,216.0,79.39773296511683,0.3515432414859133
3000000,19015.232211112976,412.0,75.47184905645283,0.8183621800444432
4000000,25396.668261528015,484.0,81.38795979750321,0.9898466880863521
5000000,31692.732409238815,332.0,96.82974749528164,0.6278238377756555
6000000,37959.93380188942,536.0,92.43376006633075,1.1136966105610642
7000000,44211.99692797661,692.0,65.23802572120036,1.4852463779852003
8000000,50628.41382408142,540.0,53.665631459994955,1.1232235276745035
9000000,57333.33736896515,796.0,8.0,1.732946222934624
10000000,64300.23536109924,736.0,64.99230723708769,1.5900424662330332
11000000,71210.67833685875,784.0,42.708313008125245,1.704365471594306
12000000,77662.89378070831,812.0,16.0,1.7710538913883818
13000000,84145.83748984337,796.0,14.966629547095765,1.732946222934624
14000000,90694.85748052597,748.0,80.59776671843954,1.6186232175733517
15000000,97447.73165297508,772.0,76.52450587883597,1.675784720253988
16000000,104105.15540623665,764.0,72.0,1.656730886027109
17000000,110304.48700237274,816.0,23.323807579381203,1.780580808501821
18000000,116851.48305368423,788.0,16.0,1.7138923887077453
19000000,123282.8081600666,800.0,0.0,1.7424731400480633
20000000,129219.1930346489,764.0,66.2117814289874,1.656730886027109
21000000,135144.97530412674,804.0,14.966629547095765,1.752000057161503
22000000,141037.62799930573,792.0,29.93325909419153,1.7234193058211846
23000000,147627.89712309837,788.0,9.797958971132712,1.7138923887077453
24000000,154302.99232149124,756.0,63.74950980203691,1.6376770518002304
25000000,160887.8851723671,816.0,14.966629547095765,1.780580808501821
26000000,167506.11876368523,804.0,23.323807579381203,1.752000057161503
27000000,173737.9042453766,780.0,50.59644256269407,1.6948385544808666
28000000,180493.16755604744,804.0,19.595917942265423,1.752000057161503
29000000,187293.4388306141,788.0,16.0,1.7138923887077453
30000000,194098.39948678017,808.0,9.797958971132712,1.7615269742749424
